Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
Extra Trees,glove.twitter.27B.200d_sum,0.9994140625,0.588006230529595,0.5935280189423836,0.9994144293423366,0.5960721837952255,0.5850893548227202,0.9994140625,0.588006230529595,0.5935280189423836,0.9994140910961556,0.5684924397405978,0.5681723996683085,0.9994539603678113,0.5795260129092464,0.5633088678509379
XGBoost,glove.twitter.27B.200d_sum,0.9994140625,0.588006230529595,0.590370955011839,0.9994141685629903,0.5895793981643371,0.5829777676078169,0.9994140625,0.588006230529595,0.590370955011839,0.9994140768214728,0.5789959694630714,0.5812100670159248,0.9994294784546769,0.5821797962516525,0.5713133354607666
Logistic Regression,glove.840B.300d_mean,0.63076171875,0.5981308411214953,0.6053670086819258,0.6264724108932362,0.6016434005943647,0.5985572465600563,0.63076171875,0.5981308411214953,0.6053670086819258,0.6214987860140487,0.5876080675160207,0.593905861039259,0.611963071358269,0.5917839645384556,0.5842108995496933
Decision Tree,glove.840B.300d_mean,0.99951171875,0.5116822429906542,0.5516969218626677,0.9995122621299799,0.5095335055821287,0.5516969218626677,0.99951171875,0.5116822429906542,0.5516969218626677,0.9995117485132952,0.5089536361652416,0.5516969218626677,0.9995653685674548,0.5085737615677735,0.5443392546892175
Random Forest,glove.840B.300d_mean,0.99951171875,0.57398753894081,0.606156274664562,0.9995119287285942,0.5758895257059091,0.5993112807865014,0.99951171875,0.57398753894081,0.606156274664562,0.9995117366372185,0.5608169446702619,0.593083877799127,0.9995408866543204,0.5670639240998523,0.5836879055419636
SVM,glove.840B.300d_mean,0.72177734375,0.6207165109034268,0.6093133385951065,0.730334695671772,0.6304880221379708,0.6032903145619043,0.72177734375,0.6207165109034268,0.6093133385951065,0.7111509184117752,0.6069132750733448,0.5906598275637168,0.7003229443250305,0.6133009954117739,0.5828192036308194
KNN,glove.840B.300d_mean,0.63642578125,0.5638629283489096,0.595895816890292,0.6340789022976541,0.5655585492034091,0.5876517848675133,0.63642578125,0.5638629283489096,0.595895816890292,0.6222841577051488,0.5472890371718255,0.575121245659869,0.6134549185712975,0.5561960494595226,0.5682640144665461
Gaussian NB,glove.840B.300d_mean,0.58251953125,0.5887850467289719,0.595895816890292,0.5858720686910031,0.5882835187843021,0.5987510934579193,0.58251953125,0.5887850467289719,0.595895816890292,0.5836891496898963,0.5883284972093684,0.5969458557081276,0.579769045688828,0.587351271483008,0.5925256178420736
AdaBoost,glove.840B.300d_mean,0.6443359375,0.57398753894081,0.6022099447513812,0.6412514126436852,0.576556319530989,0.5948826302912003,0.6443359375,0.57398753894081,0.6022099447513812,0.634864279173905,0.5592845720730609,0.5880719712154749,0.6252209570134792,0.5666848121937942,0.578963230861965
Extra Trees,glove.840B.300d_mean,0.99951171875,0.6051401869158879,0.6093133385951065,0.9995119287285942,0.6150045741130871,0.6037205801323278,0.99951171875,0.6051401869158879,0.6093133385951065,0.9995117366372185,0.588137351488244,0.5884082510625173,0.9995408866543204,0.5970672291780076,0.5813920504910826
XGBoost,glove.840B.300d_mean,0.99951171875,0.5973520249221184,0.5927387529597474,0.9995119287285942,0.5978268662807797,0.5866387879173574,0.99951171875,0.5973520249221184,0.5927387529597474,0.9995117366372185,0.5919955158913573,0.5864008445936784,0.9995408866543204,0.592804650439381,0.5764723610963374
Logistic Regression,glove.840B.300d_max,0.63076171875,0.5981308411214953,0.6053670086819258,0.6264724108932362,0.6016434005943647,0.5985572465600563,0.63076171875,0.5981308411214953,0.6053670086819258,0.6214987860140487,0.5876080675160207,0.593905861039259,0.611963071358269,0.5917839645384556,0.5842108995496933
Decision Tree,glove.840B.300d_max,0.99951171875,0.5257009345794392,0.5248618784530387,0.9995122621299799,0.5240780644495886,0.526028112817337,0.99951171875,0.5257009345794392,0.5248618784530387,0.9995117485132952,0.5237024203434658,0.5253985175794335,0.9995653685674548,0.5229945952251341,0.5182870616601071
